"Nekateri kazalniki transporta po statistiènih regijah, Slovenija, letno"

"KAZALNIK";"STATISTIÈNA REGIJA";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Pomurska";419;432;442;457;478;484;490;496;501;504;509;513;524;538;555;565;566
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Podravska";440;452;462;476;489;494;494;496;497;496;500;508;517;526;534;541;542
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Koroška";431;445;455;467;488;490;494;500;503;507;511;513;523;532;547;554;558
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Savinjska";444;458;467;481;502;506;510;513;513;512;515;515;523;534;547;555;557
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Zasavska";410;422;430;445;463;468;469;468;470;469;472;482;491;501;517;524;529
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Posavska";452;465;475;489;510;518;521;525;525;529;533;536;548;560;574;584;586
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Jugovzhodna Slovenija";450;464;470;483;502;506;510;515;517;517;523;527;537;551;564;571;572
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Osrednjeslovenska";498;508;514;527;529;528;524;521;516;510;508;517;522;530;530;535;535
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Gorenjska";470;479;486;498;512;517;518;518;517;516;518;521;529;539;547;551;542
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Primorsko-notranjska";482;496;506;518;537;542;545;550;555;553;555;558;569;581;596;604;601
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Goriška";522;536;545;556;577;581;580;580;577;577;579;580;589;600;614;621;621
"Število osebnih avtomobilov na 1.000 prebivalcev (stopnja motorizacije)";"Obalno-kraška";531;541;549;558;570;569;569;568;563;558;559;561;567;576;585;589;577
